"GVKEY","iid","datadate","tic","conm","cshtrd","prccd","prchd","prcld","prcod","exchg","sic"
186785,1,"01/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",813895,4.47,4.54,4.394,4.41,11,5812
186785,1,"02/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",518021,4.48,4.522,4.4,4.49,11,5812
186785,1,"03/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",947825,4.44,4.525,4.36,4.48,11,5812
186785,1,"04/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",534286,4.41,4.49,4.28,4.48,11,5812
186785,1,"08/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",669380,4.27,4.415,4.26,4.34,11,5812
186785,1,"09/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",1152416,4.38,4.42,4.27,4.27,11,5812
186785,1,"10/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",579723,4.32,4.43,4.29,4.39,11,5812
186785,1,"11/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",1515821,4.18,4.3217,4.18,4.32,11,5812
186785,1,"14/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",10246870,4.25,4.2999,4.1,4.2,11,5812
186785,1,"15/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",803123,4.33,4.37,4.17,4.26,11,5812
186785,1,"16/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",676854,4.31,4.3899,4.13,4.34,11,5812
186785,1,"17/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",451301,4.27,4.33,4.22,4.26,11,5812
186785,1,"18/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",705319,4.14,4.25,4.11,4.25,11,5812
186785,1,"21/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",1020506,4.05,4.12,3.95,4.04,11,5812
186785,1,"22/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",3261412,4.05,4.1,3.99,4.06,11,5812
186785,1,"23/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",2938983,4.08,4.15,4,4.09,11,5812
186785,1,"24/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",1656023,4.23,4.36,4.127,4.14,11,5812
186785,1,"25/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",1014055,4.2,4.29,4.12,4.23,11,5812
186785,1,"28/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",879347,4.15,4.3,4.13,4.28,11,5812
186785,1,"29/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",2595289,4.11,4.18,4.03,4.13,11,5812
186785,1,"30/09/2020","ARCO","ARCOS DORADOS HOLDINGS INC",923962,4.1,4.25,4.07,4.12,11,5812
